answer,ideal_answer,question,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
"diminutive form of ""guerra"" (""war"")","is the diminutive form of ""guerra"" (""war"")",Why is it called guerrilla?,0.8242367502646054,0.9817739079102716,0.8333333333333333,0.98604274,10,7.0,0.8002669215202332,0.9090909090909091,0.7265088053850027
"Ivan's Childhood in 1962 He had inherited the film from director Eduard Abalov, who had to abort the project",Ivan's Childhood,What was the first film directed by Andrei Tarkovsky?,3.0273958861031666e-80,0.15335648148148148,0.2608695652173913,0.47130287,24,2.8746523665981094,-1.0086902379989624,0.21052631578947367,0.421981538956364
Emperor Xian of Han (2 April 181 – 21 April 234),Emperor Xian of Han,Who was the last Han Dynasty Emperor?,0.10539922456186433,0.3279958677685951,0.5714285714285715,0.90443534,17,4.610308630730229,-0.8724474906921387,0.5333333333333333,0.481049154485975
Norman Gimbel and Charles Fox,Norman Gimbel and Charles Fox,"Who wrote the song ""Happy Days""?",1.0,0.996,1.0,1.0,0,4.999999999999999,0.909514307975769,1.0,1.0000000085149492
"Emperor Gaozu of Tang (7 April 566 – 25 June 635), born Li Yuan, courtesy name Shude",Emperor Gaozu of Tang,Who was the first ruler of the Tang dynasty?,0.014264233908999256,0.20563471502590672,0.4,0.7779633,16,4.744250896506967,-0.95799720287323,0.38095238095238093,0.35149086475372315
1991 by Berners-Lee which is the oldest known web page,1991,When was the first web page released?,2.2483192889629532e-235,0.054945054945054944,0.16666666666666669,0.42249876,23,1.8660659830736148,-0.7443607449531555,0.19999999999999998,0.26835050032689023
1960ssap,1960s,When did Iain M. Banks create The Culture?,0.0,0.0,0.0,0.79341906,22,2.0,-0.11990652978420258,0.0,0.3740277091662089
15 to 19million deaths and about 23million wounded military personnel,40 million,How many people died during WW1?,0.0,0.0,0.0,0.31302845,21,3.0000000000000004,-1.3422672748565674,0.0,0.3161079117230007
1275 on Habsburg King Rudolph I's orders,1275,How old is the town of Wolfstein in Germany?,1.661295735445513e-234,0.0684931506849315,0.2222222222222222,0.4449228,26,1.8114473285278132,-0.9932303428649902,0.25,0.2651925623416901
Alberto was the first Atlantic hurricane in 2000,Alberto,What was the first Atlantic hurricane in 2000?,1.661295735445513e-234,0.0684931506849315,0.2222222222222222,0.5894606,26,1.8340080864093424,-0.7898489832878113,0.25,0.23757350631058216
"Shia and Sunni Islam According to the 2018 CIA Factbook, Iraq is 95% Muslim: 64–69% Shia (Arabs, Feyli Kurds et al) and 29–34% Sunni (Arabs and Kurds)",Shia,What is the main version of Islam practiced in Iraq?,4.225780892386533e-247,0.014970059880239523,0.06666666666666667,0.53299063,31,1.8999032141671979,-0.7760542035102844,0.07407407407407407,0.22651082972685496
"the nuclear envelope, a double membrane that encloses the entire organelle and isolates its contents from the cellular cytoplasm, and the nuclear matrix (which includes the nuclear lamina), a network within the nucleus that adds mechanical support",genetic material,What is within a nucleus of a cell?,0.0,0.0,0.0,0.18876417,35,2.999999999999999,-0.8355152010917664,0.0,0.23784051850438118
"595,000 adult birds, in 46 known colonies spread around the Antarctic and sub-Antarctic","5,95,000",What is the population of emperor penguins in Antarctica?,0.0,0.0,0.1111111111111111,0.20477301,25,2.0,-1.1549832820892334,0.15384615384615385,0.5081255953562888
late 6th century BC and early 5th century BC,late 6th century BC,When did Aristagoras become leader of Miletus?,0.2865047968601901,0.4411764705882353,0.6153846153846153,0.9529167,8,4.308869380063767,-0.22319017350673676,0.6153846153846153,0.8049202230241563
"160 miles (260km) from the Dee estuary, in the north, to the Severn estuary in the south",160 miles,How long is the England–Wales border?,1.116540903312628e-158,0.09816753926701571,0.21052631578947367,0.32387716,24,2.8602542264363873,-0.9188889265060425,0.2666666666666667,0.3251697448166934
Achaemenid Persian Empire of ancient Iran,Cyrus the Great,Who started human rights?,0.0,0.0,0.0,0.31333354,35,4.0,-1.3702425956726074,0.0,0.44083286656273735
1913-Jul-26-Spain,1913,When was the first Spanish Grand Prix?,0.0,0.0,0.4,0.7556963,20,2.0,-0.7801449298858643,0.0,0.28180566004344393
"London Breed, who won a special election following the death of Mayor Ed Lee on December 12, 2017",London Breed,Who is the Mayor of San Francisco?,1.8408647368982653e-158,0.10302197802197802,0.19999999999999998,0.5188959,30,2.9331779192211953,-0.9396992921829224,0.2222222222222222,0.2981795859755948
between 49 and 52 years of age,49,When does Menopause start?,4.515870009358044e-234,0.078125,0.25,0.589126,31,1.8114473285278132,-0.8031307458877563,0.25,0.21413875903402055
26 October 899 at the age of 50 or 51,26 October 899,When did Alfred die?,1.184356142350827e-78,0.31660692951015534,0.4615384615384615,0.8195156,12,3.6692590185696075,-0.7366475462913513,0.5,0.5616558194160461
"Chechen (ноин мотт , )",Chechen,What language do Chechens speak?,1.2275407386121148e-233,0.0909090909090909,1.0,0.7688126,19,1.7411011265922482,-0.6277505159378052,0.5,0.4113785120157095
58 BC to 50 BC and culminated in the decisive Battle of Alesia in 52 BC,from 58 BC to 50 BC,When were the Gallic Wars?,0.14351442318493668,0.24800000000000003,0.45454545454545453,0.6608877,30,5.801627883639807,-0.9158061742782593,0.47619047619047616,0.5342016781077665
"Guantanamo Bay Naval Base (Spanish: Base Naval de la Baha de Guantánamo), officially known as Naval Station Guantanamo Bay or NSGB",Guantanamo Bay Naval Base,What is the oldest overseas U.S. military base?,0.005247518399181385,0.13782751091703055,0.3076923076923077,0.8544659,22,4.54398764239077,-0.7647353410720825,0.32,0.39959674729750705
1501 to 1504 -,1501 to 1504,When did Michelangelo create the David?,8.751273976943354e-78,0.754985754985755,1.0,0.9770773,0,3.223709795470626,0.6478851437568665,1.0,0.8020567695299784
"24 February 1920, the DAP changed its name to the Nationalsozialistische Deutsche Arbeiterpartei (""National Socialist German Workers' Party"", or Nazi Party)",24-Feb-20,When was the Nazi party founded?,0.0,0.0,0.08333333333333333,0.15337059,28,2.0,-1.278900384902954,0.0,0.3241952504766615
"coal and in tar deposits They are also produced by the thermal decomposition of organic matter (for example, in engines and incinerators or when biomass burns in forest fires)",coal and in tar deposits,Where are polycyclic aromatic hydrocarbons found?,0.004516580942612666,0.12696245733788394,0.29411764705882354,0.7687425,20,5.705689685132304,-0.9952170848846436,0.30303030303030304,0.5253737349720562
7 June 2016 - December 2015 filming period,07-Jun-16,When did Justin Morgan first appear as a character on Home and Away?,0.0,0.0,0.0,0.40510443,30,2.0,-1.0613200664520264,0.0,0.5922722592949867
"1418billion,",1.418billion,How many people live in china?,0.0,0.0,0.0,0.5836945,0,2.0,0.2476225197315216,1.0,0.5743521094322205
1920 to 1933  ,1920 to 1933,When was the Prohibition Era in the US?,1.2213386697554703e-77,0.9814814814814815,1.0,1.0000001,0,3.0000000000000004,0.8960396647453308,1.0,1.0
"25 April 1844, when a train of Powell's coal was taken to Cardiff",28 December 1843,When did the Taff Vale Junction Railway get made?,0.0,0.0,0.0,0.3091337,32,4.0,-1.2629890441894531,0.0,0.44242661260068417
hot deserts may be the most common type of climate on earth,hot,What is the most common type of desert?,3.042769277781409e-236,0.04587155963302752,0.15384615384615385,0.18578845,34,1.8877486253633868,-0.810226321220398,0.16666666666666669,0.40589311718940735
Willis Carrier the first large-scale electrical air conditioning was invented and used in 1902 by US inventor Willis Carrier,Willis Carrier,Who invented air conditioning?,3.0350728482059643e-158,0.1083815028901734,0.18181818181818182,0.54091823,18,2.7545420762627013,-0.8624533414840698,0.19999999999999998,0.340460520415079
1 Ceres with a mass of 9393  051018 kg,1 Ceres,What is the largest asteroid?,4.5044474950870215e-156,0.2259036144578313,0.3636363636363636,0.7451938,23,2.7415101859217357,-0.9170922040939331,0.4,0.458133265376091
"1876 to 1917, characterized by renewed national self-confidence and a feeling that the United States was the heir to Greek democracy, Roman law, and Renaissance humanism",1876 to 1917,When did the American Renaissance happen?,2.1035391438415953e-81,0.056818181818181816,0.19999999999999998,0.5425719,20,3.8694031712638104,-0.9986248016357422,0.23076923076923078,0.35658371343743056
"Gross domestic product (GDP) is a monetary measure of the market value of all the final goods and services produced in a period of time, often annually",Gross domestic product,What does GDP stand for?,1.5072516595800841e-81,0.10785510785510785,0.19999999999999998,0.77169704,31,3.8741631818108924,-0.8247305154800415,0.23076923076923078,0.3968553259968758
The giant trevally is abundant in the central Indo-Pacific region,The giant trevally,What is the most abundant fish species in the Indian ocean?,1.184356142350827e-78,0.2747909199522103,0.42857142857142855,0.5939493,23,3.6692590185696075,-0.8856348991394043,0.4,0.5176759724106107
Northeast Caucasian ethnic group of the Nakh peoples,Nakh,What ethnicity are Chechens?,1.661295735445513e-234,0.0684931506849315,0.2222222222222222,0.58937955,26,1.8340080864093424,-0.8152278661727905,0.25,0.37231548958354527
"18 years of age, but learner drivers may be permitted on the road at an earlier age under supervision",14,What's the minimum age for driving?,0.0,0.0,0.0,0.34815046,29,2.0,-0.9878534078598022,0.0,0.20523902064278013
"August 30, 1929, the Argentine Basketball Federation (current ""Confederación Argentina"") was established","August 30, 1929",When was the Argentine Basketball Federation formed?,0.0301973834223185,0.19013554216867468,0.375,0.47710177,27,3.812737171987746,-1.0095690488815308,0.42857142857142855,0.4649092214448111
"3 to 7 years People who successfully complete an apprenticeship reach the ""journeyman"" or professional certification level of competence",3 to 7,How long is a general apprenticeship in terms of years?,3.0273958861031666e-80,0.15335648148148148,0.2727272727272727,0.16731551,28,3.82237086733209,-1.0758000612258911,0.3,0.3611281202598052
2002 as the successor to Columbia TriStar Television,2002,When was Sony Pictures Television established?,1.661295735445513e-234,0.0684931506849315,0.2222222222222222,0.32911712,25,1.8340080864093424,-0.7630412578582764,0.25,0.3835093047883775
"Zuffenhausen, a district in Stuttgart, but the Cayenne and Panamera models are manufactured in Leipzig, Germany",Germany,Where are Porsches manufactured?,2.7746464297522072e-239,0.02906976744186046,0.11764705882352941,0.451719,31,1.9152065613971474,-0.7946470975875854,0.13333333333333333,0.34769372150301936
"Mary Shelley (1797–1851) that tells the story of Victor Frankenstein, a young scientist who creates a hideous, sapient creature in an unorthodox scientific experiment",Mary Shelley,Who wrote Frankenstein?,3.371661376403327e-160,0.07381889763779527,0.14814814814814814,0.6338813,27,2.9003271171811997,-0.9522711038589478,0.18181818181818182,0.45184319597833295
"Eleanor Roosevelt, to write the articles of the Declaration",Eleanor Roosevelt,Who led the writing of the Universal Declaration of Human Rights?,2.73208551083605e-156,0.20380434782608695,0.3636363636363636,0.7323857,25,2.8678442352689255,-0.842287540435791,0.4444444444444445,0.410991433262825
"May 26, 2000 After seven years with the show","May 26, 2000",When did Andy Richter leave Late Night with Conan O'Brien?,0.22313016014842982,0.42220744680851063,0.5,0.66726017,21,3.63424118566428,-0.8971104621887207,0.5454545454545454,0.439681938290596
45 miles (72km) north-west of London,45 miles,How far is Milton Keynes from London?,7.426578397901884e-156,0.25337837837837834,0.4444444444444445,0.6544782,25,2.6207413942088964,-0.909721851348877,0.5,0.3455116857181896
"Montenegro in 2017 - Adriatic States Albania and Croatia joined in the sixth enlargement in 2009, Montenegro in 2017",Montenegro,What is the newest member country to join NATO?,1.0207353780255796e-239,0.027624309392265196,0.10526315789473684,0.5864757,24,1.8592707100168127,-0.7432423830032349,0.1111111111111111,0.25989836860786786
1869-Jul-26-T00:00:00,1869,When did Mount Victoria become a railway station?,0.0,0.0,0.2857142857142857,0.82825035,27,2.0,-0.7310702800750732,0.0,0.2367731953660647
"Queen Dowager Xuan, became the regent",Queen Dowager Xuan,Who was King Zhaoxiang of Qin's mother?,3.2194137801761064e-78,0.44612794612794615,0.6666666666666666,0.77359045,21,3.6342411856642793,-0.7375307679176331,0.7499999999999999,0.5083506256341934
"April 2008, when the tournament first aired",Apr-08,When did The Prizefighter series begin?,0.0,0.0,0.0,0.44242817,36,2.0,-0.9435515403747559,0.0,0.49600284919142723
"5,000 men in the ten British divisions engaged","5,000",How many British troops died in the Battle of Morval?,1.661295735445513e-234,0.0684931506849315,0.3636363636363636,0.28508836,27,1.8340080864093424,-1.0313339233398438,0.25,0.27410793155431745
Asian giant hornet (Vespa mandarinia),Asian giant hornet,What's the biggest wasp?,3.2194137801761064e-78,0.44612794612794615,0.7499999999999999,0.8552495,11,3.365865436338599,-0.7195729613304138,0.7499999999999999,0.4825151801109314
"1892, the school then known as the Maryland Agricultural College fielded its first officially-sanctioned college football team",1892,When was the University of Maryland football team established?,7.542270970394192e-239,0.03067484662576687,0.10526315789473684,0.22597826,30,2.0,-0.6965975761413574,0.125,0.25763050839304924
"Alexander Hamilton, James Madison, and John Jay under the pseudonym ""Publius""","Alexander Hamilton, James Madison, and John Jay",Who wrote the Federalist papers?,0.513417119032592,0.6245713305898491,0.7777777777777778,0.6957815,12,7.348285488188033,-0.745658278465271,0.8235294117647058,0.678416769951582
Mumbai in Maharashtra State in India,near Mumbai in Maharashtra State in India,Where is the Sanjay Gandhi National Park?,0.8091067115702212,0.981329690346084,0.923076923076923,0.947324,8,5.555903681888698,0.8342280387878418,0.923076923076923,0.7350570658842722
prosecutor and defendant whereby the defendant agrees to plead guilty or nolo contendere to a particular charge in return for some concession from the prosecutor,defendant,Who has to initiate a plea bargain?,6.877660877227823e-242,0.022123893805309734,0.07692307692307693,0.63256264,24,1.8921152934511918,-0.8390132188796997,0.08695652173913045,0.3232675172664501
1951 after a reorganization of Geophysical Service Incorporated,1951,When was Texas Instruments founded?,1.661295735445513e-234,0.0684931506849315,0.2222222222222222,0.39720505,27,1.8340080864093424,-0.6991554498672485,0.25,0.334229932890998
Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe was born in Franceshe,28 October 1706,Where was Louise-Marie-Madeleine Guillaume de Fontaine born?,0.0,0.0,0.0,0.098679006,33,4.0,-1.2656123638153076,0.0,0.3003339113693842
"8 million people However, the figure was disputed by the Lagos State Government, which later released its own population data, putting the population of Lagos Metropolitan Area at approximately 16 million As at 2015, unofficial figures put the population of ""Greater Metropolitan Lagos"", which includes Lagos and its surrounding metro area, extending as far as into Ogun State, at approximately 21 million",approximately 21 million,What is the population of Lagos?,1.7491532098628144e-87,0.04586362062997577,0.09230769230769231,0.42092305,22,3.8901750653356757,-0.910210132598877,0.09836065573770492,0.37047840944594806
nine years old he played competitive cricket for the first time with the Thornbury Presbyterian Church team,nine,"At what age did William Morris ""Bill"" Lawry start playing cricket?",2.05020181241367e-238,0.032467532467532464,0.1111111111111111,0.14855538,24,1.9200933737095864,-0.8503639698028564,0.125,0.18992337005005944
2630–2610BC during the Third Dynasty,c.2630–2610BC,How old is the oldest pyramid?,0.0,0.0,0.4444444444444444,0.49994832,23,2.0,-0.41777944564819336,0.0,0.5718631953001022
Cricket World Cup & ICC T20 World Cup,Cricket World Cup,What is the biggest cricket competition?,2.306810775188903e-78,0.3407407407407408,0.6,0.77992165,11,3.3417448001343844,-0.6749124526977539,0.6,0.5150972439183129
"2008, but only a portion is signposted",late 2011,When did construction on I-69 begin?,0.0,0.0,0.0,0.45886448,33,3.0000000000000004,-1.131747841835022,0.0,0.34947294890880587
Buenos Aires where he only lived the first two years of his life,Buenos Aires,In what city did Abel Posse grow up?,6.096106775720526e-157,0.15756302521008406,0.2666666666666667,0.6527986,22,2.818579518693782,-0.7242258787155151,0.2857142857142857,0.4046253882921659
2010; it was written and illustrated by Itachi and published in Monthly Comic Alive,2010,When was Boku wa Tomodachi ga Sukunai get released?,1.51490562060539e-237,0.036764705882352935,0.13333333333333333,0.23018569,24,2.0,-0.7135370373725891,0.13333333333333333,0.26582192722707987
"Vanderbilt University Law School, where he met his wife, Patricia",Vanderbilt University Law School,Where did John Bruce Thompson go to law school?,0.1353352832366127,0.35435267857142855,0.5714285714285715,0.7507503,15,4.6762422391131055,-0.8490256071090698,0.5714285714285715,0.4109971597790718
"760 kilometers long; According to materials published by the Ethiopian Central Statistical Agency, the Omo-Bottego River is 760 kilometers long",760 kilometers,How long is the Omo River?,6.772162906823479e-159,0.09375,0.17391304347826084,0.43367577,25,2.7663237344451845,-0.8689836263656616,0.19999999999999998,0.2854567481963723
Zebulon Pike American explorer,Zebulon Pike,Who is Pike's Peak named for?,5.487540440520353e-155,0.4934210526315789,0.6666666666666666,0.83162105,16,2.449489742783178,-0.4380624294281006,0.6666666666666666,0.8100538849830627
"William Henry Christman, was made on May 13, 1864","The first military burial at Arlington, for William Henry Christman, was made on May 13, 1864,[14] close to what is now the northeast gate in Section 27",What is the oldest grave at Arlington National Cemetery?,0.2904391540454532,0.7882309078481329,0.4864864864864865,0.5385598,24,27.109323663983798,-0.11321912705898285,0.47058823529411764,0.7199065138896307
"Ridley, also known by his aliases Geoform 187 and The Cunning God of Death",The Cunning God of Death,Who are the main villains of Metroid?,0.1353352832366127,0.35571428571428565,0.5263157894736842,0.5240697,23,5.621759130747642,-1.0735070705413818,0.47058823529411764,0.4352320011924295
"1 July 1873, followed by the Port Erin line on 1 August 1874",1 July 1873,When did the Isle of Man Railway start running?,3.121928896334602e-79,0.19810508182601202,0.375,0.5894135,26,3.7430702254466093,-0.9542158842086792,0.4,0.39992559594767435
"1990 by US politician, entrepreneur and environmentalist Al Gore in his book “Earth in the Balance: Ecology and the Human Spirit”",1990,When was The Global Marshall Plan Initiative formed?,6.877660877227823e-242,0.022123893805309734,0.0909090909090909,0.28320682,27,1.9350635570477832,-0.7357705235481262,0.1,0.3474823465714088
"500 pages long Super Editions are stand alone books in the Warriors series that are approximately double the length of a normal Warriors book, about 500 pages long",about 500 pages,How long is the Warrior series?,2.1035391438415953e-81,0.11153198653198654,0.19354838709677416,0.5282279,25,3.7997016955039378,-0.9711748361587524,0.21428571428571425,0.38745894103214656
10 October 1845 by Secretary of the Navy George Bancroft,10 October 1845,When was the Annapolis Naval Academy founded?,1.184356142350827e-78,0.31660692951015534,0.4615384615384615,0.6421099,21,3.6692590185696075,-0.9115571975708008,0.5,0.29000901728868483
a class of organophosphorus compounds with the general structure O=P(OR)3,a class of organophosphorus compounds with the general structure O=P(OR)3,What is an organophosphate?,1.0,0.9998177842565598,1.0,1.0,0,10.000000000000002,0.9091444611549377,1.0,1.0000000149011612
"denial, anger, bargaining, depression and acceptance","denial, anger, bargaining, depression and acceptance",What are the stages of grief?,1.0,0.9993141289437586,1.0,1.0000001,0,6.0,0.8913493752479553,1.0,1.0000000198682149
1897-06-06-06-06,1897,When was the Mansfield Town Football Club first founded?,0.0,0.0,0.33333333333333337,0.7436222,31,2.0,-0.5841714143753052,0.0,0.12670329295926624
Joko Widodo became the seventh and current president of Indonesia,Joko Widodo,Who is the current political leader of Indonesia?,2.73208551083605e-156,0.20380434782608695,0.33333333333333337,0.69993633,31,2.766323734445183,-0.7463578581809998,0.3636363636363636,0.6710808322979853
Gupta (fl late 3rd century CE),Gupta,Who was the first leader of the Gupta Empire?,1.661295735445513e-234,0.0684931506849315,0.2857142857142857,0.78161764,27,1.7817974362806785,-0.7589283585548401,0.2857142857142857,0.2660030033439398
all seasons of the year greenhouses allowing for the production of tomatoes throughout all seasons of the year,all seasons,What's the fruiting season for tomatoes?,5.003989162961595e-158,0.11432926829268292,0.19999999999999998,0.4584351,22,2.7415101859217366,-0.8560429811477661,0.23529411764705882,0.3117394730644791
"Air Chief Marshal Sir Stephen Hillier, who succeeded Sir Andrew Pulford in July 2016",Air Chief Marshal Sir Stephen Hillier,Who is the current head of the Royal Air Force?,0.22313016014842982,0.39893617021276595,0.6,0.80746526,13,6.55249289559375,-0.7528564929962158,0.6,0.6004217231974882
United States has the most tornadoes of any country,United States,What country has the most tornados?,4.5044474950870215e-156,0.2259036144578313,0.3636363636363636,0.37165904,25,2.7415101859217357,-0.8974885940551758,0.4,0.40671417779392666
"3,115 acres (1261km2) with 38 miles (61km) of hiking trails and 12 miles (19km) of equestrian trails","3,115 acres",How large is Cougar Mountain Regional Wildland Park?,4.10752443555707e-159,0.08971291866028708,0.2857142857142857,0.7166989,21,2.8602542264363873,-0.9904216527938843,0.21052631578947367,0.4150148282448451
"September 19, 1994, to April 2, 2009, with a total of 331 episodes spanning over 15 seasons","September 19, 1994",When did the TV show ER first air?,0.014264233908999256,0.1635362694300518,0.3,0.4523335,18,3.866885533832589,-0.9716298580169678,0.3157894736842105,0.36327307351997923
1894,1890,When did Machen publish The Great God Pan?,0.0,0.0,0.0,0.7669768,29,2.0,0.7899124622344971,0.0,0.45190706849098206
1945 and 1946 The Demobilization of United States armed forces after the Second World War began with the defeat of Germany in May 1945 and continued through 1946,"June 30, 1947",How long did American troops stay in Germany after WWII?,0.0,0.0,0.0,0.46913207,36,4.0,-1.3659828901290894,0.0,0.384102467695872
"1948 as Resolution 217 at the Palais de Chaillot in Paris, France",1948,What year was the Universal Declaration of Human Rights published?,1.119372261523858e-236,0.04237288135593221,0.15384615384615385,0.44379896,37,1.8877486253633868,-0.7580186724662781,0.16666666666666669,0.2580966740846634
"September 18, 1987, and ran for a total of 100 episodes over four seasons, with its final episode airing on November 28, 1990","September 18, 1987",When did the cartoon DuckTales first air?,0.003182780796509667,0.1277834008097166,0.23076923076923078,0.43805602,27,3.9011778826659556,-0.9910386800765991,0.24000000000000002,0.3513516491210019
"New Zealand (52°37′S) Westernmost point – Dirk Hartog Island, Australia (112°55′′E) Easternmost point – Easter Island, Chile (109°13'W) Lowest point on land – Lake Eyre, Australia: 15m (49ft) Highest point – Puncak Jaya, Indonesia: 4,884 metres (16,024ft) Easternmost point – Easter Island, Chile (109°13'W)",United States,What is the northernmost country in Oceania?,0.0,0.008264462809917354,0.0,0.20508015,29,3.0000000000000004,-1.1250063180923462,0.0,0.28026687949895857
